id,name,name_hist_tvl,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
118,MakerDAO,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,Ethereum,maker,2,1518,CDP,['Ethereum'],['Maker'],makerdao,8540818992,1040434611,932554250,03-08-2022
494,JustLend,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,Tron,just,2,5488,Lending,['Tron'],['WINkLink'],justlend,3373019002,301653198,271246555,03-08-2022
694,JustCryptos,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,Tron,,0,,Bridge,['Tron'],,justcryptos,1368314078,,,03-08-2022
359,Frax,Frax,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,Multi-Chain,frax-share,2,6953,Algo-Stables,"['Ethereum', 'Fantom']",['Chainlink'],frax,1205202510,699938203,498387125,03-08-2022
691,JustStables,JustStables,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,USDJ,Tron,just-stablecoin,2,5446,Algo-Stables,['Tron'],['WINkLink'],juststables,1184827554,,0,03-08-2022
212,Venus,Venus,bsc:0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,Binance,venus,2,7288,Lending,['Binance'],['Chainlink'],venus,701785757,198076506,89712116,03-08-2022
115,Synthetix,Synthetix,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,Multi-Chain,havven,2,2586,Derivatives,"['Ethereum', 'Optimism']",['Chainlink'],synthetix,642296143,1118926935,903189241,03-08-2022
270,Liquity,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,Ethereum,liquity,2,7429,CDP,['Ethereum'],['Chainlink'],liquity,549199472.1,90289675,72249306,03-08-2022
347,Abracadabra,Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,Multi-Chain,spell-token,2,11289,CDP,"['Ethereum', 'Arbitrum', 'Avalanche', 'Fantom']",['Chainlink'],abracadabra,436319744.2,230436914,106441070,03-08-2022
467,Benqi Lending,benqi,avax:0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,Avalanche,benqi,2,9288,Lending,['Avalanche'],['Chainlink'],benqi-lending,260740611,121357249,45126344,03-08-2022
