id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
359,Frax,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,Multi-Chain,frax-share,2,6953,Algo-Stables,"['Ethereum', 'Fantom']",['Chainlink'],frax,1260051152.9758015,671664468.0,446011578.0,2022-07-23
691,JustStables,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,USDJ,Tron,just-stablecoin,2,5446,Algo-Stables,['Tron'],['WINkLink'],juststables,1153933671.603543,,0.0,2022-07-23
611,Neutrino,waves:6nSpVyNH7yM69eg446wrQR94ipbbcmZMU1ENPwanC97g,NSBT,Waves,neutrino-system-base-token,2,7320,Algo-Stables,['Waves'],,neutrino,138745715.07896832,,49557479.0,2022-07-23
255,Fei Protocol,0x956f47f50a910163d8bf957cf5846d573e7f87ca,FEI,Ethereum,fei-protocol,2,8642,Algo-Stables,['Ethereum'],['Chainlink'],fei-protocol,60138294.53837637,524970827.0,521800599.0,2022-07-23
427,Origin Dollar,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,OUSD,Ethereum,origin-dollar,2,7189,Algo-Stables,['Ethereum'],,origin-dollar,54157954.00718422,54597383.0,54597383.0,2022-07-23
376,Tomb Finance,fantom:0x6c021ae822bea943b2e66552bde1d2696a53fbb7,TOMB,Fantom,tomb,3,11495,Algo-Stables,['Fantom'],['DIA'],tomb-finance,40724906.742171764,,26332698.0,2022-07-23
1402,UXD,solana:UXPhBoR3qG4UCiGNJfV7MqhHyFqKN68g45GoYvAeL2M,UXP,Solana,uxd-protocol-token,2,15028,Algo-Stables,['Solana'],,uxd,17410712.78684734,,0.0,2022-07-23
195,DefiDollar DAO,0x20c36f062a31865bed8a5b1e512d9a1a20aa333a,DFD,Ethereum,defidollar-dao,2,7593,Algo-Stables,['Ethereum'],['Chainlink'],defidollar-dao,16611060.399472512,1836798.0,401667.0,2022-07-23
1194,Sperax USD,arbitrum:0xD74f5255D557944cf7Dd0E45FF521520002D5748,USDs,Multi-Chain,sperax,2,6715,Algo-Stables,"['Arbitrum', 'Ethereum']",['DIA'],sperax-usd,6472968.4751186995,24594630.0,6051057.0,2022-07-23
1261,DarkCrypto,cronos:0x83b2AC8642aE46FC2823Bc959fFEB3c1742c48B5,DARK,Cronos,darkcrypto,2,17118,Algo-Stables,['Cronos'],,darkcrypto,1453574.6140522202,,1274678.0,2022-07-23
