id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
118,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,Ethereum,maker,2,1518,CDP,['Ethereum'],['Maker'],makerdao,5964577227.367437,951178929.0,852553292.0,2022-07-23
347,Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,Multi-Chain,spell-token,2,11289,CDP,"['Ethereum', 'Arbitrum', 'Avalanche', 'Fantom']",['Chainlink'],abracadabra,415419371.79569376,226076467.0,103676895.0,2022-07-23
135,Kava,,KAVA,Kava,kava,,4846,CDP,['Kava'],['Chainlink'],kava,162352697.22545707,,410889762.0,2022-07-23
1662,Yeti Finance,avax:0x77777777777d4554c39223C354A05825b2E8Faa3,YETI,Avalanche,yeti-finance,2,19576,CDP,['Avalanche'],['Chainlink'],yeti-finance,90670466.12140502,15734908.0,1311399.0,2022-07-23
756,Angle,0x31429d1856aD1377A8A0079410B297e1a9e214c2,ANGLE,Multi-Chain,angle-protocol,2,12761,CDP,"['Ethereum', 'Polygon']","['Chainlink', 'TWAP']",angle,80913894.88256347,37143019.0,5769951.0,2022-07-23
449,QiDao,polygon:0x580a84c73811e1839f75d86d75d88cca0c241ff4,QI,Multi-Chain,qi-dao,2,10237,CDP,"['Polygon', 'Fantom', 'Avalanche', 'Optimism', 'Binance', 'xDai', 'Arbitrum', 'Harmony', 'Moonriver']",,qidao,72164852.2992251,56850717.0,23843254.0,2022-07-23
125,mStable,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,MTA,Multi-Chain,meta,2,5748,CDP,"['Ethereum', 'Polygon']",,mstable,56952517.39414695,15180907.0,7583353.0,2022-07-23
358,Parrot Protocol,solana:PRT88RkA4Kg5z7pKnezeNH4mafTvtQdfFgpQTGRjz44,PRT,Solana,parrot-protocol,1,11935,CDP,['Solana'],,parrot-protocol,35425986.283425644,19182983.0,0.0,2022-07-23
626,Reserve,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,RSR,Ethereum,reserve-rights-token,2,3964,CDP,['Ethereum'],,reserve,28222950.286664665,631401929.0,116504107.0,2022-07-23
1444,Vesta Finance,arbitrum:0xa684cd057951541187f288294a1e1C2646aA2d24,VSTA,Arbitrum,vesta-finance,2,,CDP,['Arbitrum'],['Chainlink'],vesta-finance,18487146.09023381,24745834.0,1237292.0,2022-07-23
338,Inverse Finance,0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,INV,Ethereum,inverse-finance,0,8720,CDP,['Ethereum'],,inverse-finance,16622082.638568852,,19525690.0,2022-07-23
913,Defrost,avax:0x47EB6F7525C1aA999FBC9ee92715F5231eB1241D,MELT,Avalanche,defrost-finance,2,15191,CDP,['Avalanche'],['Chainlink'],defrost,16612188.248095568,2454376.0,175892.0,2022-07-23
1720,Kokoa Finance,klaytn:0x4fa62f1f404188ce860c8f0041d6ac3765a72e67,KSD,Klaytn,,2,,CDP,['Klaytn'],['TWAP'],kokoa-finance,15410865.80951841,,,2022-07-23
1708,AstridDAO,astar:0x5271D85CE4241b310C0B34b7C2f1f036686A6d7C,ATID,Astar,,2,,CDP,['Astar'],['DIA'],astriddao,10743167.550823133,,,2022-07-23
874,ICHI Farm,0x903bef1736cddf2a537176cf3c64579c3867a881,ICHI,Ethereum,ichi-farm,2,7726,CDP,['Ethereum'],,ichi-farm,9389223.287404928,49472095.0,24711990.0,2022-07-23
1916,Hedge,solana:5PmpMzWjraf3kSsGEKtqdUsCoLhptg4yriZ17LKKdBBy,HDG,Solana,hedge-protocol,2,20239,CDP,['Solana'],"['Pyth', 'Chainlink', 'Switchboard']",hedge,7476817.345491563,,0.0,2022-07-23
517,Kolibri,tezos:KT1JkoE42rrMBP9b2oDhbx6EUr26GcySZMUH,kDAO,Tezos,,2,,CDP,['Tezos'],['Harbinger'],kolibri,7424074.204047995,,,2022-07-23
667,Mars Ecosystem,bsc:0x7859b01bbf675d67da8cd128a50d155cd881b576,XMS,Binance,mars-ecosystem-token,2,10030,CDP,['Binance'],,mars-ecosystem,5377871.581215474,,1626962.0,2022-07-23
363,xDollar,iotex:0x375488f097176507e39b9653b88fdc52cde736bf,SPACE,Multi-Chain,xdollar,2,,CDP,"['IoTeX', 'Polygon', 'Avalanche', 'Ethereum', 'Arbitrum']",,xdollar,5042461.096211695,,0.0,2022-07-23
