id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
340,Olympus DAO,0x383518188c0c6d7730d91b2c03a03c837814a899,OHM,Ethereum,olympus,2,9067,Reserve Currency,['Ethereum'],,olympus-dao,322610474.1033605,389852835.0,363434312.0,2022-07-23
522,Wonderland,avax:0xb54f16fb19478766a268f172c9480f8da1a7c9c3,TIME,Multi-Chain,wonderland,0,11585,Reserve Currency,"['Avalanche', 'Ethereum']",,wonderland,148021708.40543833,15272124.0,14370484.0,2022-07-23
875,Temple DAO,0x470ebf5f030ed85fc1ed4c2d36b9dd02e77cf1b7,TEMPLE,Ethereum,temple,0,,Reserve Currency,['Ethereum'],,temple-dao,51674601.612479225,167283792.0,69219155.0,2022-07-23
781,Klima DAO,polygon:0x4e78011ce80ee02d2c3e649fb657e45898257815,KLIMA,Polygon,klima-dao,1,12873,Reserve Currency,['Polygon'],,klima-dao,39229402.91408315,,26160534.0,2022-07-23
758,Spartacus,fantom:0x5602df4a94eb6c680190accfa2a475621e0ddbdc,SPA,Fantom,spartacus,0,13748,Reserve Currency,['Fantom'],,spartacus,29895272.455895923,24000520.0,0.0,2022-07-23
961,Fantohm,0xfa1fbb8ef55a4855e5688c0ee13ac3f202486286,FHM,Multi-Chain,fantohm,2,14063,Reserve Currency,"['Fantom', 'Ethereum', 'Moonriver', 'Binance', 'Boba']",['DIA'],fantohm,21437873.7469281,4431353.0,3033176.0,2022-07-23
964,Nemesis DAO,bsc:0x8AC9DC3358A2dB19fDd57f433ff45d1fc357aFb3,NMS,Binance,nemesis-dao,0,14492,Reserve Currency,['Binance'],,nemesis-dao,4972157.849791542,,190786.0,2022-07-23
1505,Floor Dao,0xf59257E961883636290411c11ec5Ae622d19455e,FLOOR,Ethereum,floordao,0,18440,Reserve Currency,['Ethereum'],[],floor-dao,4615246.980098877,6425248.0,5722394.0,2022-07-23
1596,The Idols,0x9416ba76e88d873050a06e5956a3ebf10386b863,VIRTUE,Ethereum,,2,,Reserve Currency,['Ethereum'],[],the-idols,4181787.012874801,,,2022-07-23
804,Gyro,bsc:0x1b239abe619e74232c827fbe5e49a4c072bd869d,GYRO,Binance,gyro,0,12703,Reserve Currency,['Binance'],,gyro,1811843.652815635,2508845.0,2508845.0,2022-07-23
1377,Maia DAO,metis:0x72c232D56542Ba082592DEE7C77b1C6CFA758BCD,MAIA,Metis,maia,0,,Reserve Currency,['Metis'],[],maia-dao,1642286.5524570676,96389.0,0.0,2022-07-23
1206,WagmiDAO,harmony:0x8750f5651af49950b5419928fecefca7c82141e3,GMI,Harmony,wagmidao,2,,Reserve Currency,['Harmony'],,wagmidao,1535828.5428214702,18791285.0,2002513.0,2022-07-23
1593,Sphere Finance,polygon:0x8D546026012bF75073d8A586f24A5d5ff75b9716,SPHERE,Polygon,sphere-finance,0,18945,Reserve Currency,['Polygon'],[],sphere-finance,1508420.5119580422,,0.0,2022-07-23
1227,Empyrean DAO,aurora:0xE9F226a228Eb58d408FdB94c3ED5A18AF6968fE1,EMPYR,Aurora,empyrean,0,,Reserve Currency,['Aurora'],,empyrean-dao,1315370.7689462095,250632.0,0.0,2022-07-23
824,Euphoria,harmony:0x0dc78c79b4eb080ead5c1d16559225a46b580694,WAGMI,Harmony,euphoria-2,0,14153,Reserve Currency,['Harmony'],,euphoria,1014563.8948945221,,3790665.0,2022-07-23
934,InvictusDAO,solana:inL8PMVd6iiW3RCBJnr5AsrRN6nqr4BTrcNuQWQSkvY,IN,Solana,invictus,0,14278,Reserve Currency,['Solana'],,invictusdao,976541.3540472625,,10246882.0,2022-07-23
1050,LeagueDAO,0x7b39917f9562c8bc83c7a6c2950ff571375d505d,LEAG,Ethereum,leaguedao-governance-token,0,14131,Reserve Currency,['Ethereum'],,leaguedao,675257.3157306806,2145397.0,909014.0,2022-07-23
1098,Templar DAO,bsc:0x19e6bfc1a6e4b042fb20531244d47e252445df01,TEM,Multi-Chain,templardao,0,15288,Reserve Currency,"['Binance', 'Moonriver', 'Harmony']",,templar-dao,639556.46074399,,361869.0,2022-07-23
939,R U Generous,avax:0xb8ef3a190b68175000b74b4160d325fd5024760e,RUG,Avalanche,r-u-generous,0,14971,Reserve Currency,['Avalanche'],,r-u-generous,593365.5661382859,,0.0,2022-07-23
973,XEUS,bsc:0x4e141769366634d9c4e498257fa7ec204d22b634,XEUS,Binance,xeus,0,13976,Reserve Currency,['Binance'],,xeus,562321.2118587552,,767.68,2022-07-23
1478,GTON Capital,fantom:0xc1be9a4d5d45beeacae296a7bd5fadbfc14602c4,GTON,Fantom,gton-capital,2,10006,Reserve Currency,['Fantom'],['DIA'],gton-capital,459063.610109755,,3258465.0,2022-07-23
1231,Vesq,polygon:0x29f1e986fca02b7e54138c04c4f503dddd250558,VESQ,Polygon,vesq,2,16737,Reserve Currency,['Polygon'],,vesq,417581.34507202194,,0.0,2022-07-23
1015,Atlas USV,polygon:0xAC63686230f64BDEAF086Fe6764085453ab3023F,USV,Polygon,atlas-usv,0,,Reserve Currency,['Polygon'],,atlas-usv,285655.34635356074,196228337.0,17849594.0,2022-07-23
1013,Stargate Finance,bsc:0x141381f07Fa31432243113Cda2F617d5d255d39a,SGT,Binance,,0,,Reserve Currency,['Binance'],,stargate-finance,216180.49394400298,,,2022-07-23
1238,Minotaur Money,cronos:0x3A1138075bd97a33F23A87824b811146FA44288E,MINO,Cronos,minotaur,0,,Reserve Currency,['Cronos'],,minotaur-money,215376.25886976987,,0.0,2022-07-23
994,Life DAO,avax:0x5684a087c739a2e845f4aaaabf4fbd261edc2be8,LF,Avalanche,life-dao,0,15289,Reserve Currency,['Avalanche'],,life-dao,212547.1456802193,35277.0,0.0,2022-07-23
1529,Gamblefi,cronos:0xD465b6B4937D768075414D413e981Af0b49349Cc,BETIFY,Cronos,betify,0,,Reserve Currency,['Cronos'],[],gamblefi,194719.95616155985,,0.0,2022-07-23
1271,Immortal,celo:0xE685d21b7B0FC7A248a6A8E03b8Db22d013Aa2eE,IMMO,Celo,immortaldao,2,,Reserve Currency,['Celo'],,immortal,190093.05097166047,27175.0,0.0,2022-07-23
993,O2 DAO,avax:0xaa2439dbad718c9329a5893a51a708c015f76346,OTWO,Avalanche,,0,,Reserve Currency,['Avalanche'],,o2-dao,186484.77216865128,,,2022-07-23
928,Fortress,avax:0xf6d46849db378ae01d93732585bec2c4480d1fd5,FORT,Avalanche,fortressdao,0,14861,Reserve Currency,['Avalanche'],,fortress,144395.64844280586,,746374.0,2022-07-23
1338,Warp,polygon:0x3F46a70adB395cddb81FF9bFE3B62aDae1B44816,WARP,Polygon,warp-bond,0,17651,Reserve Currency,['Polygon'],,warp,130661.19970823136,,0.0,2022-07-23
999,Luxor Money,fantom:0x6671E20b83Ba463F270c8c75dAe57e3Cc246cB2b,LUX,Fantom,luxor,0,,Reserve Currency,['Fantom'],['Chainlink'],luxor-money,124507.74489687034,5361535.0,604610.0,2022-07-23
1426,MiniPanther DAO,fantom:0x3264810174f577F82DDD4FD08818F368AC363505,MP,Fantom,minipanther,2,,Reserve Currency,['Fantom'],[],minipanther-dao,92608.25701183376,,0.0,2022-07-23
1047,UnusDao,bsc:0xb91ec4f9d7d12a1ac145a7ae3b78afb45856c9c8,UDO,Binance,unus-dao,0,15196,Reserve Currency,['Binance'],,unusdao,89876.96537594477,18377.74,0.0,2022-07-23
927,Pidao Finance,bsc:0x1215ed20aa507578ca352e195016f289e7a17f3a,PID,Binance,pidao,2,14163,Reserve Currency,['Binance'],,pidao-finance,88833.09066418029,,0.0,2022-07-23
1424,Volta DAO,fantom:0x4c9993c7107495020c2ce9a13d11839f48ecd2e6,VOLTa,Multi-Chain,,0,,Reserve Currency,"['Fantom', 'Avalanche']",[],volta-dao,70776.9755325092,,,2022-07-23
1730,Goblins Cash,smartbch:0x56381cB87C8990971f3e9d948939e1a95eA113a3,GOB,smartBCH,,0,,Reserve Currency,['smartBCH'],[],goblins-cash,57344.03984913978,,,2022-07-23
889,8ightDAO,harmony:0xcda2fdeee5c382e401c04dc929e53ababf6c8109,EIGHT,Harmony,8ight-finance,0,14970,Reserve Currency,['Harmony'],,8ightdao,43952.45001047492,25390.0,0.0,2022-07-23
1318,Cesta Finance,,-,Avalanche,,2,,Reserve Currency,['Avalanche'],,cesta-finance,42344.00229255778,,,2022-07-23
1721,KronosDAO,bsc:0xbeC68a941feCC79E57762e258fd1490F29235D75,KRONOS,Binance,,0,,Reserve Currency,['Binance'],[],kronosdao,40554.844860385434,,,2022-07-23
975,Omicron,arbirtum:0x86b3353387f560295a8fa7902679735e5f076bd5,OMIC,Arbitrum,omicron,0,14095,Reserve Currency,['Arbitrum'],,omicron,40369.31489485271,1770055.0,0.0,2022-07-23
974,TaiChi,bsc:0xe49bfc53a195a62d78a941a1967d7b0f83a47c14,TAC,Binance,taichi,0,13743,Reserve Currency,['Binance'],,taichi,33551.003445464536,,26931.0,2022-07-23
1067,Dios Finance,bsc:0x08eEcF5d03bDA3dF2467F6AF46b160c24D931DE7,DIOS,Binance,dios-finance,0,15989,Reserve Currency,['Binance'],,dios-finance,31627.42883415996,34195.0,28344.0,2022-07-23
984,GalaxyGoogle DAO,avax:0xf2f7ce610a091b94d41d69f4ff1129434a82e2f0,GG,Multi-Chain,galaxygoogle-dao,0,15268,Reserve Currency,"['Binance', 'Avalanche']",,galaxygoogle-dao,20419.70903888218,241.79,0.0,2022-07-23
856,Fortune DAO,cronos:0xcA558149225Fb386B9c26716e8C35a650C74d35e,FORT,Cronos,,0,15742,Reserve Currency,['Cronos'],,fortune-dao,16283.038446485885,,,2022-07-23
966,CerberusDAO,0x8a14897ea5f668f36671678593fae44ae23b39fb,3DOG,Ethereum,cerburus,0,15249,Reserve Currency,['Ethereum'],,cerberusdao,7086.0002602282375,7211971.0,7211971.0,2022-07-23
1223,TiPiDao,bsc:0xd0253dbe5606c9fa01db67eb10be5c3675c2b117,TPD,Binance,,0,,Reserve Currency,['Binance'],,tipidao,6750.310181630496,,,2022-07-23
1309,Gaia DAO,avax:0x9f6aedca032b1092e08b848fc9d6f29139370837,GAIA,Avalanche,gaia-dao,0,,Reserve Currency,['Avalanche'],,gaia-dao,5315.917932614583,,0.0,2022-07-23
1366,Hotfriescoin,bsc:0x849741B79bc1618b46CF9ec600E94E771DEde601,HFC,Binance,,0,,Reserve Currency,['Binance'],,hotfriescoin,5134.476227408949,,,2022-07-23
1105,Bourbon DAO,bsc:0xce1ad4e2810e413e2e3684decc58a0bd01c907d9,WHISKEY,Binance,,0,,Reserve Currency,['Binance'],,bourbon-dao,2339.3824511066864,,,2022-07-23
