id,name,symbol,gecko_id,cmcId,address,pegType,pegMechanism,description,mintRedeemDescription,price,priceSource,circulating_peggedUSD,chains,onCoinGecko,R_ExtractDate
1,Tether,USDT,tether,825,0xdac17f958d2ee523a2206206994597c13d831ec7,peggedUSD,fiat-backed,"Launched in 2014, Tether tokens pioneered the stablecoin model. Tether tokens are pegged to real-world currencies on a 1-to-1 basis. This offers traders, merchants and funds a low volatility solution when exiting positions in the market.",Tether customers who have undergone a verification process can exchange USD for USDT and redeem USDT for USD.,1.00012289,chainlink,66284219402.86788,"['Tron', 'Ethereum', 'Solana', 'BSC', 'Omni', 'Avalanche', 'Polygon', 'Heco', 'Arbitrum', 'Algorand', 'Fantom', 'EOS', 'Oasis', 'KCC', 'Aurora', 'Gnosis', 'OKExChain', 'Optimism', 'Liquidchain', 'Moonbeam', 'Moonriver', 'Harmony', 'Metis', 'Astar', 'zkSync', 'Bittorrent', 'RSK', 'Milkomeda', 'Loopring', 'IoTeX', 'Boba', 'Fuse', 'Evmos', 'Telos', 'Statemine', 'Kardia', 'TomoChain', 'Meter', 'Terra Classic', 'Syscoin', 'Celo', 'Crab', 'Shiden', 'Theta', 'Kava']",true,2022-07-24
2,USD Coin,USDC,usd-coin,3408,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,peggedUSD,fiat-backed,"USDC is a fully regulated dollar digital stablecoin launched by Circle and Coinbase. USDC is fully backed by cash and short-dated U.S. government obligations, so that it is always redeemable 1:1 for U.S. dollars.",An eligible business can exchange USD for USDC and redeem USDC for USD through a Circle Account.,1.00008601,chainlink,54379090836.139046,"['Ethereum', 'Solana', 'Tron', 'Avalanche', 'BSC', 'Polygon', 'Arbitrum', 'Fantom', 'Algorand', 'Optimism', 'Stellar', 'Aurora', 'Moonbeam', 'Moonriver', 'Gnosis', 'Harmony', 'Ronin', 'KCC', 'Loopring', 'Milkomeda', 'Metis', 'Flow', 'Astar', 'zkSync', 'Hedera', 'Evmos', 'OKExChain', 'Boba', 'DFK', 'Oasis', 'Fuse', 'Celo', 'Telos', 'Karura', 'Syscoin', 'Elastos', 'Meter', 'Terra Classic', 'Theta', 'Crab', 'TomoChain', 'RSK', 'Kava']",true,2022-07-24
3,TerraClassicUSD,USTC,terrausd,7129,,peggedUSD,algorithmic,"Terra is a digital currency. The supply of Terra is adjusted in response to changes in demand to keep its price stable. This is achieved using Luna, the mining token whose stable rewards are designed to absorb volatility from changing economic cycles.","Using Terra Station, $1 worth of LUNA can be burned to mint 1 UST, and vice-versa.",0.03790962,chainlink,11278778389.0,"['Terra Classic', 'Ethereum', 'BSC', 'Avalanche', 'Polygon', 'Solana', 'Fantom', 'Harmony', 'Aurora', 'Moonbeam', 'Fuse', 'Oasis', 'Metis', 'Celo', 'Arbitrum', 'Optimism', 'DFK']",true,2022-07-24
4,Binance USD,BUSD,binance-usd,4687,0x4fabb145d64652a948d72533023f6e7a623c7c53,peggedUSD,fiat-backed,"BUSD is a 1:1 USD-backed stablecoin approved by the New York State Department of Financial Services (NYDFS), issued in partnership with Paxos.",Paxos customers who have undergone a verification process can exchange USD for BUSD and redeem BUSD for USD.,1.00037883,chainlink,17975707913.109997,"['Ethereum', 'BSC', 'Kava', 'Astar', 'Harmony', 'Solana', 'Boba', 'Moonriver', 'IoTeX', 'Moonbeam', 'OKExChain', 'Polygon', 'Meter', 'Milkomeda', 'Fuse', 'Elastos', 'Fantom', 'Avalanche', 'Aurora', 'Theta', 'KCC', 'Syscoin', 'Terra Classic', 'Shiden', 'Evmos', 'Metis', 'RSK', 'Loopring', 'Oasis']",true,2022-07-24
5,Dai,DAI,dai,4943,0x6b175474e89094c44da98b954eedeac495271d0f,peggedUSD,crypto-backed,"The Dai stablecoin is a decentralized, unbiased, collateral-backed cryptocurrency soft-pegged to the US Dollar. Dai is held in cryptocurrency wallets or within platforms, and is supported on Ethereum and other popular blockchains.","Users mint Dai by depositing accepted collateral assets into Maker Vaults within the Maker Protocol. When the loan is repaid to retrieve the collateral, the paid back Dai is burned.",1.00070188,chainlink,6913845148.383083,"['Ethereum', 'Avalanche', 'BSC', 'Fantom', 'Polygon', 'Gnosis', 'Arbitrum', 'Optimism', 'Harmony', 'Moonbeam', 'zkSync', 'Astar', 'Moonriver', 'Solana', 'Aztec', 'Milkomeda', 'Aurora', 'Boba', 'Loopring', 'Evmos', 'RSK', 'Velas', 'StarkNet', 'KCC', 'Syscoin', 'Shiden', 'Terra Classic', 'Oasis']",true,2022-07-24
6,Frax,FRAX,frax,6952,0x853d955acef822db058eb8505911ed77f175b99e,peggedUSD,algorithmic,"Frax attempts to be the first stablecoin protocol to implement design principles of both collateralized and algorithmic stablecoins to create a highly scalable, trustless, extremely stable, and ideologically pure on-chain money.","Using the Frax Finance app, FRAX can be minted by locking USDC and burning FXS in a proportion determined by the protocol's collateral ratio.",1.00075897,chainlink,1406058926.7042148,"['Ethereum', 'Fantom', 'Arbitrum', 'Moonriver', 'Polygon', 'Moonbeam', 'Avalanche', 'Optimism', 'Harmony', 'Aurora', 'Boba', 'BSC', 'Evmos', 'zkSync', 'Solana', 'Milkomeda']",true,2022-07-24
7,TrueUSD,TUSD,true-usd,2563,0x0000000000085d4780b73119b644ae5ecd22b376,peggedUSD,fiat-backed,TrueUSD (TUSD) is an independently-verified digital asset redeemable 1-for-1 for US Dollars.,TrueUSD customers who have undergone a verification process can exchange USD for TUSD and redeem TUSD for USD.,1.00008881,chainlink,1225799076.5624452,"['Ethereum', 'Tron', 'BSC', 'Cronos', 'Polygon', 'Avalanche', 'Fantom', 'Arbitrum', 'Heco', 'Syscoin']",true,2022-07-24
8,Liquity USD,LUSD,liquity-usd,9566,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,peggedUSD,crypto-backed,Liquity is a decentralized borrowing protocol that allows you to draw interest-free loans against Ether used as collateral. Loans are paid out in LUSD (a USD pegged stablecoin).,"Using a Liquity frontend, users mint LUSD by depositing ETH as collateral into a Trove. When the loan is repaid to retrieve the collateral, the paid back LUSD is burned.",1.02207021,chainlink,170099627.3688335,"['Ethereum', 'Optimism', 'Polygon', 'Avalanche', 'BSC', 'Fantom']",true,2022-07-24
9,Fei USD,FEI,fei-usd,8642,0x956f47f50a910163d8bf957cf5846d573e7f87ca,peggedUSD,algorithmic,"Fei is a decentralized, scalable, and DeFi-native stablecoin protocol. Fei Protocol's goal is to scalably issue a $1 pegged decentralized stablecoin, FEI.","New FEI is minted via a buy-only bonding curve denominated in ETH. The Fei Protocol deploys its Protocol Controlled Value as liquidity for trading, and FEI is minted or burned to maintain the peg whenever it is traded.",0.99857281,chainlink,201014611.73878428,['Ethereum'],true,2022-07-24
10,Magic Internet Money,MIM,magic-internet-money,162,0x956f47f50a910163d8bf957cf5846d573e7f87ca,peggedUSD,crypto-backed,"Abracadabra.money is a lending platform that uses interest-bearing tokens as collateral to borrow a USD pegged stablecoin (Magic Internet Money - MIM), that can be used as any other traditional stablecoin.","Using Abracadabra.money, users mint MIM by depositing interest-bearing tokens as collateral into an Abracadabra cauldron. When the loan is repaid to retrieve the collateral, the paid back MIM is burned.",0.9991593,chainlink,218586713.86070704,"['Ethereum', 'Avalanche', 'Fantom', 'Arbitrum', 'Moonriver', 'Metis', 'BSC', 'Polygon', 'Boba']",true,2022-07-24
11,Pax Dollar,USDP,paxos-standard,3330,0x8e870d67f660d95d5be530380d0ec0bd388289e1,peggedUSD,fiat-backed,USDP is a regulated stablecoin by Paxos that is redeemable one-to-one for US Dollars.,Paxos customers who have undergone a verification process can exchange USD for USDP and redeem USDP for USD.,1.001,chainlink,872785260.36,"['Ethereum', 'BSC']",true,2022-07-24
