id,symbol,date,totalCirculating_peggedUSD,totalUnreleased_peggedUSD,totalCirculatingUSD_peggedUSD,totalMintedUSD_peggedUSD,totalBridgedToUSD_peggedUSD,R_ExtractDate
1,USDT,2021-01-01,20934027063.04073,0.0,20934027063.04073,0,0,2022-07-23
1,USDT,2021-01-02,21123644615.38574,0.0,21123644615.38574,0,0,2022-07-23
1,USDT,2021-01-03,21202977966.966965,0.0,21202977966.966965,0,0,2022-07-23
1,USDT,2021-01-04,21350523809.280685,0.0,21350523809.280685,0,0,2022-07-23
1,USDT,2021-01-05,21808226475.32642,0.0,21808226475.32642,0,0,2022-07-23
1,USDT,2021-01-06,21938753509.124535,0.0,21938753509.124535,0,0,2022-07-23
1,USDT,2021-01-07,22300090404.1088,0.0,22300090404.1088,0,0,2022-07-23
1,USDT,2021-01-08,22825440973.459038,0.0,22825440973.459038,0,0,2022-07-23
1,USDT,2021-01-09,23523147664.187305,0.0,23523147664.187305,0,0,2022-07-23
1,USDT,2021-01-10,23789558136.59055,0.0,23789558136.59055,0,0,2022-07-23
1,USDT,2021-01-11,24279872324.78446,0.0,24279872324.78446,0,0,2022-07-23
1,USDT,2021-01-12,24476886629.5841,0.0,24476886629.5841,0,0,2022-07-23
1,USDT,2021-01-13,24294673600.944046,0.0,24294673600.944046,0,0,2022-07-23
1,USDT,2021-01-14,24337321169.826145,0.0,24337321169.826145,0,0,2022-07-23
1,USDT,2021-01-15,24213693580.926777,0.0,24213693580.926777,0,0,2022-07-23
1,USDT,2021-01-16,24266793529.261494,0.0,24266793529.261494,0,0,2022-07-23
1,USDT,2021-01-17,24315907744.20519,0.0,24315907744.20519,0,0,2022-07-23
1,USDT,2021-01-18,24325253500.348637,0.0,24325253500.348637,0,0,2022-07-23
1,USDT,2021-01-19,24361784336.09795,0.0,24361784336.09795,0,0,2022-07-23
1,USDT,2021-01-20,24298711592.612995,0.0,24298711592.612995,0,0,2022-07-23
1,USDT,2021-01-21,24773996062.93597,0.0,24773996062.93597,0,0,2022-07-23
1,USDT,2021-01-22,25008394352.59355,0.0,25018693185.435295,0,0,2022-07-23
1,USDT,2021-01-23,24801327622.792286,0.0,24766151175.739323,0,0,2022-07-23
1,USDT,2021-01-24,24747246253.755672,0.0,24712146511.887344,0,0,2022-07-23
1,USDT,2021-01-25,24813122584.88907,0.0,24834107742.828754,0,0,2022-07-23
1,USDT,2021-01-26,24943473422.73445,0.0,24964568822.055904,0,0,2022-07-23
1,USDT,2021-01-27,25059561869.015553,0.0,25080755447.611774,0,0,2022-07-23
1,USDT,2021-01-28,25255177033.61132,0.0,25307575273.279255,0,0,2022-07-23
1,USDT,2021-01-29,25378936181.757412,0.0,25253064449.19327,0,0,2022-07-23
1,USDT,2021-01-30,25228959196.063007,0.0,25103831303.307552,0,0,2022-07-23
1,USDT,2021-01-31,26260606337.887394,0.0,26130361792.006435,0,0,2022-07-23
1,USDT,2021-02-01,26460152363.20715,0.0,26483682758.80752,0,0,2022-07-23
1,USDT,2021-02-02,26539965348.818275,0.0,26564627445.782368,0,0,2022-07-23
1,USDT,2021-02-03,26737565393.607494,0.0,26762411109.178493,0,0,2022-07-23
1,USDT,2021-02-04,27040294469.11286,0.0,27065421493.785656,0,0,2022-07-23
1,USDT,2021-02-05,27464486048.164513,0.0,27502829454.59376,0,0,2022-07-23
1,USDT,2021-02-06,27816326085.945854,0.0,27855160699.293854,0,0,2022-07-23
1,USDT,2021-02-07,28318232688.704033,0.0,28282367063.6552,0,0,2022-07-23
1,USDT,2021-02-08,28564384006.70739,0.0,28528206625.94365,0,0,2022-07-23
1,USDT,2021-02-09,28863249466.014015,0.0,28826693565.98951,0,0,2022-07-23
1,USDT,2021-02-10,29758402439.41391,0.0,29626314074.820766,0,0,2022-07-23
1,USDT,2021-02-11,30256118930.225216,0.0,30183702355.76527,0,0,2022-07-23
1,USDT,2021-02-12,30750705243.030983,0.0,30677104899.87186,0,0,2022-07-23
1,USDT,2021-02-13,31064574294.367252,0.0,30990222720.636253,0,0,2022-07-23
1,USDT,2021-02-14,31539493807.170025,0.0,31500838668.270397,0,0,2022-07-23
1,USDT,2021-02-15,31950061617.476994,0.0,31955791868.58773,0,0,2022-07-23
1,USDT,2021-02-16,32119872729.8971,0.0,32125633436.67103,0,0,2022-07-23
1,USDT,2021-02-17,32322580880.821716,0.0,32328377943.350475,0,0,2022-07-23
1,USDT,2021-02-18,32391466873.779316,0.0,32413291911.280746,0,0,2022-07-23
1,USDT,2021-02-19,33157947105.034473,0.0,33368480841.393013,0,0,2022-07-23
1,USDT,2021-02-20,33750136267.936314,0.0,33964430062.078342,0,0,2022-07-23
1,USDT,2021-02-21,34371952648.25752,0.0,34590194615.833305,0,0,2022-07-23
1,USDT,2021-02-22,34386570525.72401,0.0,34510046446.13455,0,0,2022-07-23
1,USDT,2021-02-23,34756738533.76357,0.0,34881543660.16356,0,0,2022-07-23
1,USDT,2021-02-24,34896050919.73742,0.0,35255081215.21835,0,0,2022-07-23
1,USDT,2021-02-25,35055733490.14547,0.0,35416406690.16505,0,0,2022-07-23
1,USDT,2021-02-26,34953515263.391785,0.0,35313136784.51969,0,0,2022-07-23
1,USDT,2021-02-27,35297886361.616516,0.0,35581859982.40391,0,0,2022-07-23
1,USDT,2021-02-28,35019017695.772484,0.0,35416677027.58959,0,0,2022-07-23
1,USDT,2021-03-01,35168931968.608925,0.0,35568293655.70293,0,0,2022-07-23
1,USDT,2021-03-02,35205221027.27653,0.0,35604994795.68439,0,0,2022-07-23
1,USDT,2021-03-03,35648335234.61495,0.0,35948972274.64511,0,0,2022-07-23
1,USDT,2021-03-04,35849578088.00556,0.0,35967992203.40746,0,0,2022-07-23
1,USDT,2021-03-05,36436768966.71434,0.0,36557122622.05458,0,0,2022-07-23
1,USDT,2021-03-06,36442357698.78603,0.0,36562729814.16959,0,0,2022-07-23
1,USDT,2021-03-07,36505130743.971436,0.0,36572628505.42287,0,0,2022-07-23
1,USDT,2021-03-08,36537451758.11312,0.0,36550537664.847084,0,0,2022-07-23
1,USDT,2021-03-09,36485945568.00477,0.0,36499013027.77083,0,0,2022-07-23
1,USDT,2021-03-10,36891976398.89507,0.0,36905189278.80754,0,0,2022-07-23
1,USDT,2021-03-11,37294121249.33685,0.0,37185340231.40195,0,0,2022-07-23
