id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
240,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,Polygon,matic-network,0.0,3890.0,Chain,['Polygon'],,polygon-bridge-&-staking,6617673655.38727,8520549720.0,6822237118.0,2022-07-23
3,Curve,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,Multi-Chain,curve-dao-token,2.0,6538.0,Dexes,"['Ethereum', 'Polygon', 'Avalanche', 'Fantom', 'Arbitrum', 'xDai', 'Optimism', 'Moonbeam', 'Harmony', 'Aurora']",[],curve,6086603158.349465,4698928710.0,557604079.0,2022-07-23
1,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Multi-Chain,uniswap,2.0,7083.0,Dexes,"['Ethereum', 'Polygon', 'Arbitrum', 'Optimism', 'Celo']",[],uniswap,5984210052.574859,6855556278.0,3129490029.0,2022-07-23
118,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,Ethereum,maker,2.0,1518.0,CDP,['Ethereum'],['Maker'],makerdao,5964577227.367437,951178929.0,852553292.0,2022-07-23
2,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Ethereum,wrapped-bitcoin,2.0,3717.0,Bridge,['Ethereum'],[],wbtc,5343588375.605413,5343438880.0,5343438880.0,2022-07-23
111,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,Multi-Chain,aave,2.0,7278.0,Lending,"['Ethereum', 'Polygon', 'Avalanche']",['Chainlink'],aave-v2,4280994407.394295,1471340023.0,1284426305.0,2022-07-23
319,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,Ethereum,convex-finance,2.0,9903.0,Yield,['Ethereum'],,convex-finance,3765955766.435272,775101774.0,509967302.0,2022-07-23
494,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,Tron,just,2.0,5488.0,Lending,['Tron'],['WINkLink'],justlend,3315838222.479239,306584957.0,275681193.0,2022-07-23
194,PancakeSwap,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,Binance,pancakeswap-token,2.0,1165.0,Dexes,['Binance'],[],pancakeswap,3017402327.243208,2540472797.0,500934547.0,2022-07-23
114,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,Ethereum,compound-governance-token,2.0,5692.0,Lending,['Ethereum'],['Chainlink'],compound,2003091198.17448,559998241.0,383939597.0,2022-07-23
591,Multichain,0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,MULTI,Multi-Chain,anyswap,2.0,5892.0,Bridge,"['Fantom', 'Ethereum', 'Avalanche', 'Arbitrum', 'Binance', 'Moonriver', 'Polygon', 'Moonbeam', 'OKExChain', 'Milkomeda', 'Boba', 'Optimism', 'Cronos', 'IoTeX', 'Harmony', 'xDai', 'Kucoin', 'Metis', 'Telos', 'Aurora', 'Syscoin', 'Bittorrent', 'Conflux', 'Heco', 'Shiden', 'Oasis', 'Velas', 'Fuse', 'Fusion', 'Evmos', 'RSK', 'EthereumClassic', 'Astar', 'DFK', 'Celo', 'Ronin']",,multichain,1951154365.803937,449483481.0,0.0,2022-07-23
120,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,Ethereum,instadapp,,10508.0,Services,['Ethereum'],,instadapp,1923389087.9893053,,17608715.0,2022-07-23
641,Arrakis Finance,,-,Multi-Chain,,2.0,,Yield,"['Ethereum', 'Polygon', 'Optimism']",,arrakis-finance,1680883801.0082953,,,2022-07-23
